Name,Date,Amount lost,Chains,Classification,Technique,Language
Fusion by IPOR,1767657600,336000,Arbitrum,Protocol Logic,EIP-7702 Delegation Exploit,Solidity
TMX TRIBE,1767571200,1400000,Arbitrum,Protocol Logic,Mint & Stake Loop Exploit,Solidity
PRXVT,1767225600,97000,Base,Protocol Logic,Sybil Attack with CREATE2 Addresses,Solidity
Unleash Protocol,1767052800,3900000,Story,Protocol Logic,Multisig Governance Hack,Solidity
MSCST,1766880000,129900,BSC,Protocol Logic,Atomic Sandwich Attack,Solidity
Flow,1766793600,3900000,Flow,Protocol Logic,mint-and-dump Hack,Solidity
Rari Capital,1766016000,2000000,Ethereum,Protocol Logic,Uninitialized Proxy Hijack,Solidity
FutureSwap,1765843200,270000,Ethereum,Protocol Logic,Flashloan Governance Attack,Solidity
Yearn Finance,1765843200,300000,Ethereum,Protocol Logic,misconfigured Fulcrum sUSD strategy,Solidity
Mars Perps,1765670400,960000,Neutron,Protocol Logic,Thin-Market Skew Exploit,Rust
Ribbon,1765497600,2700000,Ethereum,Protocol Logic,Private Key Compromised,Solidity
0G Labs,1765411200,516000,0G,Protocol Logic,emergencyWithdraw Function Exploit,Solidity
US Permissionless Dollar,1764806400,1000000,Ethereum,Protocol Logic,"""CPIMP"" proxy front-run",Solidity
Yearn Ether,1764460800,9000000,Ethereum,Protocol Logic,yETH stablepool Exploit,Solidity
Port3 Network,1763856000,166000,BSC,Protocol Logic,Infinite Mint and Dump,Solidity
Impermax V3,1762819200,380000,Base,Protocol Logic,Zero-Rate Hack,Solidity
DIMO,1762473600,40000,Ethereum,Protocol Logic,Private Key Compromised,
Moonwell Lending,1762214400,1000000,"Base, Optimism",Protocol Logic,Oracle Price Feed Manipulation,Solidity
Balancer V2,1762128000,128000000,"Ethereum, Arbitrum, Base, Polygon, Sonic, Optimism",Protocol Logic,Composable Stable Pools Exploit,Solidity
Sharwa.Finance,1760918400,146000,Arbitrum,Protocol Logic,Price Manipulation Attack,Solidity
Typus Perp,1760486400,3400000,Sui,Protocol Logic,TLP Contract Exploit,Move
Astera.fi,1759968000,573000,Linea,Protocol Logic,Oracle Price Feed Manipulation,Solidity
Abracadabra Spell,1759536000,1700000,Ethereum,Protocol Logic,Sequential State Manipulation Exploit,Solidity
Hyperdrive HL,1758931200,773000,Hyperliquid L1,Protocol Logic,Router Exploit,Solidity
UXLINK,1758499200,11300000,"Ethereum, Arbitrum",Protocol Logic,Delegatecall Exploit,Solidity
Shibarium,1757721600,3000000,Shibarium,Protocol Logic,Validator Stake Manipulation by Flashloan,Solidity
Kame Aggregator,1757635200,1300000,Sei,Protocol Logic,swap() Function Flaw,
Nemo Yield Trading,1757289600,2400000,Sui,Protocol Logic,Price Oracle Manipulation,Move
Bunni V2,1756771200,8400000,"Ethereum, Unichain",Protocol Logic,Liquidity Distribution Function Exploit,Solidity
Cozy V2,1756512000,427000,Optimism,Protocol Logic,Insufficient Sender Verification Exploit,Solidity
BetterBank,1756166400,5000000,PulseChain,Protocol Logic,Infinite Mint and Dump,Solidity
Panoptic V1.1,1756080000,0,"Base, Unichain, Ethereum",Protocol Logic,,Solidity
Odin.Fun,1754956800,7000000,ICP,Protocol Logic,Liquidity Manipulation Exploit,Motoko
numa.,1754784000,320000,Sonic,Protocol Logic,NumaVault Exploit,Solidity
SuperRare,1753660800,730000,Ethereum,Protocol Logic,updateMerkleRoot Access Control Exploit,Solidity
Arcadia V2,1752537600,2500000,Base,Protocol Logic,Rebalancer contract reentrancy hack,Solidity
